Rent  Area
519  725
765  995
475  481
575  925
415  600
530  668
580  725
995  1421
565  672
620  1025
450  781
520  800
495  870
420  700
575  800
425  620
770  1040
445  520
510  880
635  832
470  545
700  921
450  577
785  1080
485  710
415  605
399  680
585  730
525  687
495  703
505  672
445  660
565  755
650  810
515  611
470  705
470  564
700  1250
455  512
550  630
625  850
745  1156
540  932
650  755
595  1093
470  751
480  608
460  900
600  860
575  925
659  944
650  940
750  1048
455  474
430  700
605  921
929  1229
695  896
455  630
1050  1864
